start_bp	end_bp	ancID	childID
98345537	99034420	1	2987
99034420	99047948	2	2987
99047948	100000001	1	2987
0	3835875	1	11913
3835875	3894519	2	11913
3894519	12147791	1	11913
12147791	13067750	2	11913
13067750	17192016	1	11913
17192016	21967175	2	11913
21967175	23712758	1	11913
23712758	26685253	2	11913
26685253	31990638	1	11913
31990638	34509732	2	11913
34509732	36523643	1	11913
36523643	37143698	2	11913
37143698	40590960	1	11913
40590960	41139891	2	11913
41139891	41960739	1	11913
41960739	44361393	2	11913
44361393	51833496	1	11913
51833496	53572546	2	11913
53572546	53864099	1	11913
53864099	60606650	2	11913
60606650	62788046	1	11913
62788046	65406123	2	11913
65406123	69955110	1	11913
69955110	74765863	2	11913
74765863	76153314	1	11913
76153314	77656442	2	11913
77656442	79759543	1	11913
79759543	80099757	2	11913
80099757	84352986	1	11913
84352986	90156466	2	11913
90156466	91538197	1	11913
91538197	93465689	2	11913
93465689	97254426	1	11913
97254426	98291933	2	11913
98291933	99730002	1	11913
99730002	100000001	2	11913
0	893902	2	12436
893902	1355203	1	12436
1355203	2026543	2	12436
2026543	8873800	1	12436
8873800	12063818	2	12436
12063818	20750913	1	12436
20750913	21237719	2	12436
21237719	23739886	1	12436
23739886	29968091	2	12436
29968091	30398641	1	12436
30398641	31210373	2	12436
31210373	33500233	1	12436
33500233	33887144	2	12436
33887144	36768445	1	12436
36768445	38158008	2	12436
38158008	42175515	1	12436
42175515	43173737	2	12436
43173737	44618885	1	12436
44618885	46815189	2	12436
46815189	51860985	1	12436
51860985	52916926	2	12436
52916926	55367991	1	12436
55367991	57015214	2	12436
57015214	57609711	1	12436
57609711	58517482	2	12436
58517482	67152214	1	12436
67152214	68039148	2	12436
68039148	70977300	1	12436
70977300	71663174	2	12436
71663174	75478207	1	12436
75478207	75601048	2	12436
75601048	76400210	1	12436
76400210	78052020	2	12436
78052020	81467781	1	12436
81467781	83959826	2	12436
83959826	85771290	1	12436
85771290	86401539	2	12436
86401539	86686262	1	12436
86686262	87510548	2	12436
87510548	95869812	1	12436
95869812	97841730	2	12436
97841730	100000001	1	12436
0	609748	2	1207
609748	11349312	1	1207
11349312	14139828	2	1207
14139828	17930033	1	1207
17930033	19214630	2	1207
19214630	20212889	1	1207
20212889	20984646	2	1207
20984646	22006842	1	1207
22006842	24399802	2	1207
24399802	34943018	1	1207
34943018	40603727	2	1207
